"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /etc.clientlibs/UtxPortal/clientlibs/clientlib-angular18.4.0/resources/manifest.json HTTP/1.1"" 302 - 1 ""https://abc.example.com//UtxPortal/us/en/home/megamenu.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""POST /PRM/rest/getEmpTypeaheadEmpAlloc HTTP/1.1"" 200 83 13 ""https://abc.example.com//index.html?cd=1769570988801"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /PRM/appResources/img/success.png HTTP/1.1"" 200 1790 5 ""https://abc.example.com//index.html?cd=1769475874488"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /PRM/appResources/img/icon_calender.jpg HTTP/1.1"" 200 2392 7 ""https://abc.example.com//index.html?cd=1769475874488"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /PRM/appResources/img/blue_up_arrow.png HTTP/1.1"" 200 3156 5 ""https://abc.example.com//index.html?cd=1769475874488"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /PRM/appResources/img/down-arrow.png HTTP/1.1"" 200 3167 4 ""https://abc.example.com//index.html?cd=1769475874488"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""POST /pAccounting/c2r/rest/showPobBudgetDetailsOnLoad HTTP/1.1"" 200 9545 1094 ""https://abc.example.com//c2r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /pAccounting/appResources/images/icon_worklist.png HTTP/1.1"" 200 1281 10 ""https://abc.example.com//index.html?cd=1769570999284"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /assets/table_separator.png HTTP/1.1"" 302 - 4 ""https://abc.example.com//c2r/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /pAccounting/appResources/images/icon_profile.png HTTP/1.1"" 200 1603 7 ""https://abc.example.com//index.html?cd=1769570999284"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /pAccounting/appResources/js/bootstrap-datepicker.js?v=18350 HTTP/1.1"" 200 5852 10 ""https://abc.example.com//index.html?cd=1769570999284"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /pAccounting/appResources/js/angular-strap.min.js?v=18350 HTTP/1.1"" 200 4659 9 ""https://abc.example.com//index.html?cd=1769570999284"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /pAccounting/appResources/js/Controller.js?v=18350 HTTP/1.1"" 200 3222 9 ""https://abc.example.com//index.html?cd=1769570999284"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /pAccounting/extResources/tooltip/tipsy-docs.js?v=18350 HTTP/1.1"" 200 931 9 ""https://abc.example.com//index.html?cd=1769570999284"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /pAccounting/appResources/js/angular/controller/pa_min/customerSegmentController.js?v=18350 HTTP/1.1"" 200 15197 18 ""https://abc.example.com//index.html?cd=1769570999284"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /pAccounting/appResources/images/Arrow.png HTTP/1.1"" 200 183 9 ""https://abc.example.com//index.html?cd=1769570999284"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [28/Jan/2026:09:00:00 +0530] "POST /utxAuthService/rest/validate-login HTTP/1.1" 200 33 13754 0
<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [28/Jan/2026:09:00:00 +0530] "POST /apps/rest/isDeviceAuthorize HTTP/1.1" 200 47 "-" "Java/1.8.0_462" -- 0 @ 30656 --
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""POST /utxHomeApp/errorLogging HTTP/1.1"" 200 25 7 ""https://abc.example.com//UtxPortal/us/en/home/megamenu.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /performancemgmt/assets/Info%20icon%20Copy.svg HTTP/1.1"" 200 807 9 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /performancemgmt/assets/Group%201627.svg HTTP/1.1"" 200 307 4 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /performancemgmt/assets/deleteIcon.svg HTTP/1.1"" 200 1139 5 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /performancemgmt/assets/75percentCricle.svg HTTP/1.1"" 200 463 5 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /performancemgmt/LatoLatin-Medium.b11711016362874c.woff HTTP/1.1"" 200 59281 12 ""https://abc.example.com//styles.81ce1559f0720602.css"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""POST /homePage/rest/common-data/user-details HTTP/1.1"" 200 760 113 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /performancemgmt/arrow_down.71b6086e053d2716.svg HTTP/1.1"" 200 304 8 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /performancemgmt/assets/Group%201627.svg HTTP/1.1"" 200 307 4 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [28/Jan/2026:09:00:00 +0530] "GET /cmportal/ HTTP/1.1" 200 80 67616
<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [28/Jan/2026:09:00:00 +0530] "GET / HTTP/1.1" 302 80 223
<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [28/Jan/2026:09:00:00 +0530] "GET /cmportal/ HTTP/1.1" 200 80 67616
<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [28/Jan/2026:09:00:00 +0530] "GET /cmportal/ HTTP/1.1" 200 80 67616
<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [28/Jan/2026:09:00:00 +0530] "GET /cmportal/ HTTP/1.1" 200 80 67616
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /performancemgmt/assets/emojies/trophy.png HTTP/1.1"" 200 5520 5 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /srs/assets/home_menu.svg HTTP/1.1"" 200 333 79 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /srs/assets/help_menu.svg HTTP/1.1"" 200 648 88 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /srs/rest/menu HTTP/1.1"" 200 207 123 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /srs/assets/logout_updated.svg HTTP/1.1"" 200 364 82 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /srs/assets/profile_updated.svg HTTP/1.1"" 200 372 97 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /srs/Roboto-Medium.68ea4734cf86bd544650.ttf HTTP/1.1"" 200 90307 106 ""https://abc.example.com//styles.4895a8a62ffed5166c7a.css"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /srs/Roboto-Regular.8a36205bd9b83e03af05.ttf HTTP/1.1"" 200 89555 120 ""https://abc.example.com//styles.4895a8a62ffed5166c7a.css"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /srs/assets/Calender_based_WFO_status2.jpg HTTP/1.1"" 200 236597 31 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""POST /UtxSrsWfoService/rest/srssup/showBanner HTTP/1.1"" 405 288 280 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /srs/assets/black_cross.svg HTTP/1.1"" 200 249 37 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""POST /UtxSrsWfoService/rest/srsoozy/CountryFlag HTTP/1.1"" 405 288 76 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /srs/assets/banner-design.svg HTTP/1.1"" 200 437 48 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /srs/assets/androidimage.svg HTTP/1.1"" 200 39668 52 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /srs/assets/banner-2office.svg HTTP/1.1"" 200 2985 56 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /srs/assets/appleimage.svg HTTP/1.1"" 200 15591 64 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""GET /srs/assets/introducing.svg HTTP/1.1"" 200 1003 66 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:01 +0530] ""GET /srs/favicon.ico HTTP/1.1"" 200 2366 29 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0"""
<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 - - [28/Jan/2026:09:00:00 +0530] "GET / HTTP/1.1" 302 80 223
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:01 +0530] ""GET /performancemgmt/ HTTP/1.1"" 200 1556 21 ""https://speed.company.net/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:01 +0530] ""GET /drs/assets/edit_active.png HTTP/1.1"" 200 3246 11 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:01 +0530] ""GET /drs/assets/icon_vendor_small.png HTTP/1.1"" 200 1882 16 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:01 +0530] ""GET /drs/assets/small_human_doodle_image.png HTTP/1.1"" 200 2642 17 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
<150>Jan 28 09:00:00 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] "GET / HTTP/1.1" 302 - 1 "-" "-"
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:00 +0530] ""POST /xcelerate/rest/get-application-link HTTP/1.1"" 200 90 22 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:01 +0530] ""GET /xcelerate/rest/get-user-info HTTP/1.1"" 200 294 11 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:01 +0530] ""GET /xcelerate/rest/get-tme-role-flag HTTP/1.1"" 200 62 14 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:01 +0530] ""GET /xcelerate/assets/images/slider/let-aspire.svg HTTP/1.1"" 200 38706 24 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:01 +0530] ""GET /xcelerate/assets/images/slider/careerstreams.svg HTTP/1.1"" 200 7661 14 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:01 +0530] ""GET /xcelerate/assets/images/slider/eptar.svg HTTP/1.1"" 200 58794 17 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:01 +0530] ""GET /xcelerate/assets/images/slider/mentoring.svg HTTP/1.1"" 200 33414 20 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:01 +0530] ""POST /visman/rest/getEmployeeDetails?cd=1769570990180&visman=C032505116F5AA6DAD96F771BCDF91E3E6CA36CD88B69664AED8A99B93453B9F HTTP/1.1"" 200 272 60 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:01 +0530] ""POST /visman/rest/getRoleWiseFunctionalCategory?cd=1769570990180&visman=C032505116F5AA6DAD96F771BCDF91E3E6CA36CD88B69664AED8A99B93453B9F HTTP/1.1"" 200 91 68 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"""
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:01 +0530] ""GET /GRS/images/companyBrandingImages/up_arrow.png HTTP/1.1"" 200 1167 19 ""https://abc.example.com//pages/refCreateProfile.jsf"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 09:00:01 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:09:00:01 +0530] ""GET /GRS/images/companyBrandingImages/Line_1853.png HTTP/1.1"" 200 90 18 ""https://abc.example.com//pages/refCreateProfile.jsf"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
